registro	ano	mes	dia	tmed	urmed	vento	tmax	urmax	ventomax	tmin	urmin	chuva
293	1997	10	20	18.49	96.94	1.69	20.12	100.00	8.45	16.94	86.79	17.80
294	1997	10	21	21.14	91.26	0.92	25.64	100.00	6.20	17.58	73.54	0.40
295	1997	10	22	19.73	82.59	1.98	25.14	100.00	9.20	15.85	54.54	0.00
296	1997	10	23	20.63	75.90	2.41	27.32	100.00	7.70	14.11	45.60	0.00
297	1997	10	24	21.56	74.24	1.22	28.50	100.00	8.45	14.72	40.03	0.00
298	1997	10	25	20.50	86.03	0.62	27.07	100.00	6.20	16.86	53.26	4.60
299	1997	10	26	19.74	95.02	0.91	24.28	100.00	6.95	17.13	72.34	6.30
300	1997	10	27	22.44	77.54	0.92	29.91	100.00	6.20	15.45	46.19	0.00
301	1997	10	28	25.22	70.85	0.74	32.81	100.00	5.45	17.31	33.02	0.00
302	1997	10	29	26.78	66.58	1.89	35.28	100.00	10.70	18.17	28.86	0.00
303	1997	10	30	25.16	74.69	2.10	33.83	97.93	12.20	20.15	42.02	2.90
304	1997	10	31	23.42	85.27	0.99	31.29	100.00	10.70	19.41	55.73	0.70
305	1997	11	1	26.07	76.47	1.62	34.91	100.00	14.45	20.60	36.99	28.30
